tg,fa
Фурудгоҳи миёгуоно,فرودگاه مایاگوانا
Фурудгоҳи миҳу-юногу,فرودگاه میهو-یوناگو
Фурудгоҳи мкзику ммуриол,فرودگاه مکزیکو مموریال
Фурудгоҳи мкзику формз,فرودگاه مکزیکو فارمز
Фурудгоҳи мкорти,فرودگاه مکارتی
Фурудгоҳи мкурюк,فرودگاه مکوریوک
Фурудгоҳи млбрн,فرودگاه ملبورن
Фурудгоҳи млито,فرودگاه ملیتا
Фурудгоҳи млолон,فرودگاه ملالان
Фурудгоҳи млуил ҳол,فرودگاه ملویل هال
Фурудгоҳи млунгуон,فرودگاه ملونگوان
Фурудгоҳи млфи,فرودگاه ملفی
Фурудгоҳи ммингн,فرودگاه ممینگن
Фурудгоҳи ммолус,فرودگاه ممالوس
Фурудгоҳи ммонбтсу,فرودگاه ممانبتسو
Фурудгоҳи мнгун,فرودگاه منگون
Фурудгоҳи мндуто,فرودگاه مندوتا
Фурудгоҳи мно,فرودگاه منا
Фурудгоҳи мноко,فرودگاه مناکا
Фурудгоҳи мнунг,فرودگاه منونگ
Фурудгоҳи мнурко,فرودگاه منورکا
Фурудгоҳи мо ҳу,فرودگاه ما هو
Фурудгоҳи мовломиоинг,فرودگاه ماولامیاینگ
Фурудгоҳи мовнт мгнит,فرودگاه ماونت مگنیت
Фурудгоҳи мовнтн вилиҷ,فرودگاه ماونتن ویلیج
Фурудгоҳи модсту сетӣ е-кон,فرودگاه مادستو سیتی-کانتی
Фурудгоҳи мозомо тимбр пд,فرودگاه مازاما تیمبر پد
Фурудгоҳи моилз сетӣ е,فرودگاه مایلز سیتی
Фурудгоҳи моиртурп,فرودگاه مایرتورپ
Фурудгоҳи моисюнуоро,فرودگاه مایسیونوارا
Фурудгоҳи моксиму гумз,فرودگاه ماکسیمو گومز
Фурудгоҳи монгу,فرودگاه مانگو
Фурудгоҳи монсун,فرودگاه مانسون
Фурудгоҳи мопити,فرودگاه ماپیتی
Фурудгоҳи мопти,فرودگاه ماپتی
Фурудгоҳи моти,فرودگاه ماتی
Фурудгоҳи мотис,فرودگاه ماتیس
Фурудгоҳи мотиток,فرودگاه ماتیتاک
Фурудгоҳи мотово,فرودگاه ماتاوا
Фурудгоҳи мотогоми,فرودگاه ماتاگامی
Фурудгоҳи моток,فرودگاه ماتاک
Фурудгоҳи мотори,فرودگاه ماتاری
Фурудгоҳи мотоҳуро,فرودگاه ماتاهورا
Фурудгоҳи мотсопҳо,فرودگاه ماتساپها
Фурудгоҳи мотсу нонгон,فرودگاه ماتسو نانگان
Фурудгоҳи мотсуиомо,فرودگاه ماتسویاما
Фурудгоҳи мотсумуту,فرودگاه ماتسوموتو
Фурудгоҳи мрибл,فرودگاه مریبل
Фурудгоҳи мрилот,فرودگاه مریلات
Фурудгоҳи мримбуло,فرودگاه مریمبولا
Фурудгоҳи мрит,فرودگاه مریت
Фурудгоҳи мрл мудҳул исмет,فرودگاه مرل مودهول اسمیت
Фурудгоҳи мродобод,فرودگاه مرادآباد
Фурудгоҳи мрсдито,فرودگاه مرسدیتا
Фурудгоҳи мрсинг,فرودگاه مرسینگ
Фурудгоҳи мрср (верҷенеё),فرودگاه مرسر (ویرجینیا)
Фурудгоҳи мртсбрук,فرودگاه مرتسبروک
Фурудгоҳи мруи,فرودگاه مروی
Фурудгоҳи мскуоит,فرودگاه مسکوایت
Фурудгоҳи мскуоит митру,فرودگاه مسکوایت مترو
Фурудгоҳи мсо дил рий,فرودگاه مسا دل ری
Фурудгоҳи мт ҳуп,فرودگاه مت هوپ
Фурудгоҳи мтз-нонси-лурн,فرودگاه متز-نانسی-لورن
Фурудгоҳи мтрупулитн,فرودگاه متروپولیتن
Фурудгоҳи мубаел довнтовн,فرودگاه موبایل داونتاون
Фурудгоҳи мубил бичу,فرودگاه موبیل بیچو
Фурудгоҳи мубоиҳ омбонго,فرودگاه موبایه امبانگا
Фурудгоҳи мувндуил,فرودگاه مووندویل
Фурудгоҳи мугилф,فرودگاه موگیلف
Фурудгоҳи мугодур,فرودگاه موگادور
Фурудгоҳи мудги,فرودگاه مودگی
"Фурудгоҳи муди крик (крулис, Орегон)",فرودگاه مودی کریک (کرولیس، اورگن)
"Фурудгоҳи муди крик (ҳинс, Орегон)",فرودگاه مودی کریک (هینس، اورگن)
Фурудгоҳи муеҳирпур,فرودگاه موئیرپور
Фурудгоҳи муин,فرودگاه موین
Фурудгоҳи муиол,فرودگاه مویال
Фурудгоҳи муко,فرودگاه موکا
Фурудгоҳи мукпу,فرودگاه موکپو
Фурудгоҳи мукун,فرودگاه موکون
Фурудгоҳи мул крик,فرودگاه مول کریک
Фурудгоҳи мулнду,فرودگاه مولندو
Фурудгоҳи мулсун лик,فرودگاه مولسون لیک
Фурудгоҳи мулу,فرودگاه مولو
Фурудгоҳи мулук,فرودگاه مولوکای
Фурудгоҳи мулҳовс-ҳобшим,فرودگاه مولهاوس–هابشیم
Фурудгоҳи мумут,فرودگاه موموت
Фурудгоҳи мун-жули,فرودگاه مون-ژولی
Фурудгоҳи мун-луриҳ,فرودگاه مون-لوریه
Фурудгоҳи мун-трмблон син-жувит,فرودگاه مون-ترمبلان/سن-ژوویت
Фурудгоҳи мунгсот,فرودگاه مونگسات
Фурудгоҳи мунднс рнч,فرودگاه موندنس رنچ
Фурудгоҳи мундо,فرودگاه موندا
Фурудгоҳи муно,فرودگاه مونا
Фурудгоҳи мунплиҳ - мдитронҳ,فرودگاه مونپلیه - مدیترانه
Фурудгоҳи мунта дуроду,فرودگاه مونته دورادو
Фурудгоҳи мунтичлу (Юта),فرودگاه مونتیچلو (یوتا)
Фурудгоҳи мунтичлу (неююрк),فرودگاه مونتیچلو (نیویورک)
Фурудгоҳи мунтовн,فرودگاه مونتاون
Фурудгоҳи мунтог (колефурнеё),فرودگاه مونتاگ (کالیفرنیا)
Фурудгоҳи мунтоиндол,فرودگاه مونتایندال
Фурудгоҳи мунтрол лиҳ сдр,فرودگاه مونترآل/له سدر
Фурудгоҳи мунтрол син-овбр,فرودگاه مونترآل/سن-اوبر
Фурудгоҳи мунтс клору,فرودگاه مونتس کلارو
Фурудгоҳи мунтук,فرودگاه مونتوک
Фурудгоҳи муну,فرودگاه مونو
Фурудгоҳи мун‌монӣ и,فرودگاه مون‌مانیی
Фурудгоҳи муоло,فرودگاه موالا
Фурудгоҳи муосҳ бнзокн рнгифу,فرودگاه مواسه بنزاکن رنگیفو
Фурудгоҳи муосҳ р. оспинузо,فرودگاه مواسه ر. اسپینوزا
Фурудгоҳи мурио,فرودگاه موئورئا
Фурудгоҳи муритз ммурил,فرودگاه موریتز مموریل
Фурудгоҳи муро-силион,فرودگاه مورا-سیلیان
Фурудгоҳи муробин,فرودگاه مورابین
Фурудгоҳи мурово,فرودگاه موراوا
Фурудгоҳи муронбоҳ,فرودگاه مورانباه
Фурудгоҳи мурун,فرودگاه مورون
Фурудгоҳи мус лик,فرودگاه موس لیک
Фурудгоҳи мус риг,فرودگاه موس ریگ
Фурудгоҳи мустогонм,فرودگاه موستاگانم
Фурудгоҳи мусуни,فرودگاه موسونی
Фурудгоҳи муто лово,فرودگاه موتوکولا
Фурудгоҳи мучимбуо до приё,فرودگاه موچیمبوا دا پرایا
Фурудгоҳи мушн киоштод,فرودگاه موشن کیاشتاد
Фурудгоҳи муҳн‌ҷав дорӯ,فرودگاه موهن‌جو دارو
Фурудгоҳи муҳок вли,فرودگاه موهاک ولی
Фурудгоҳи муҳҳ гулион,فرودگاه موهه گولیان
Фурудгоҳи мфув,فرودگاه مفوو
Фурудгоҳи мқтқҳ‌ий росил‌вел,فرودگاه مقطقه‌ای راسل‌ویل
Фурудгоҳи мҳомн,فرودگاه مهامن
Фурудгоҳи мҳсоно,فرودگاه مهسانا
Фурудгоҳи мҷит,فرودگاه مجیت
Фурудгоҳи мӯ ий роно,فرودگاه مو ای رانا
Фурудгоҳи мӯр,فرودگاه موری
Фурудгоҳи мӯр-мурл,فرودگاه مور-مورل
Фурудгоҳи мِи крик,فرودگاه می کریک
Фурудгоҳи набӣ,فرودگاه نبی
Фурудгоҳи навор дувтҳит,فرودگاه نوار دووتهیت
Фурудгоҳи наҳр гумшуда (овргон),فرودگاه نهر گمشده (اورگان)
Фурудгоҳи ндлҳ,فرودگاه ندله
Фурудгоҳи нерӯе ҳаво салтанате бнсун,فرودگاه نیروی هوایی سلطنتی بنسون
Фурудгоҳи нерӯе ҳаво салтанате болоду бриҷ,فرودگاه نیروی هوایی سلطنتی بالادو بریج
Фурудгоҳи нерӯе ҳаво салтанате боркстун ҳис,فرودگاه نیروی هوایی سلطنتی بارکستون هیث
Фурудгоҳи нерӯе ҳаво салтанате ботзуилрҳуф,فرودگاه نیروی هوایی سلطنتی باتزویلرهوف
Фурудгоҳи нерӯе ҳаво салтанате бритз нӯратон,فرودگاه نیروی هوایی سلطنتی بریتز نورتون
Фурудгоҳи нерӯе ҳаво салтанате бровди,فرودگاه نیروی هوایی سلطنتی براودی
Фурудгоҳи нерӯе ҳаво салтанате бругн,فرودگاه نیروی هوایی سلطنتی بروگن
Фурудгоҳи нерӯе ҳаво салтанате бсингбурн,فرودگاه نیروی هوایی سلطنتی بسینگبورن
Фурудгоҳи нерӯе ҳаво салтанате вдингтун,فرودگاه نیروی هوایی سلطنتی ودینگتون
Фурудгоҳи нерӯе ҳаво салтанате вилднрот,فرودگاه نیروی هوایی سلطنتی ویلدنرات
Фурудгоҳи нерӯе ҳаво салтанате вист‌ҳмпнт,فرودگاه نیروی هوایی سلطنتی وست‌همپنت
Фурудгоҳи нерӯе ҳаво салтанате витун,فرودگاه نیروی هوایی سلطنتی ویتون
Фурудгоҳи нерӯе ҳаво салтанате вли,فرودگاه نیروی هوایی سلطنتی ولی
Фурудгоҳи нерӯе ҳаво салтанате вотишом,فرودگاه نیروی هوایی سلطنتی واتیشام
Фурудгоҳи нерӯе ҳаво салтанате вотун,فرودگاه نیروی هوایی سلطنتی واتون
Фурудгоҳи нерӯе ҳаво салтанате встун-он-д-грен,فرودگاه نیروی هوایی سلطنتی وستون-آن-د-گرین
Фурудгоҳи нерӯе ҳаво салтанате вудуил,فرودگاه نیروی هوایی سلطنتی وودویل
Фурудгоҳи нерӯе ҳаво салтанате гидун,فرودگاه نیروی هوایی سلطنتی گیدون
Фурудгоҳи нерӯе ҳаво салтанате гилн‌кирчн,فرودگاه نیروی هوایی سلطنتی گایلن‌کیرشن
Фурудгоҳи нерӯе ҳаво салтанате готу,فرودگاه نیروی هوایی سلطنتی گاتو
Фурудгоҳи нерӯе ҳаво салтанате гровли,فرودگاه نیروی هوایی سلطنتی گراولی
Фурудгоҳи нерӯе ҳаво салтанате гутрслу,فرودگاه نیروی هوایی سلطنتی گوترسلو
Фурудгоҳи нерӯе ҳаво салтанате дигби,فرودگاه نیروی هوایی سلطنتی دیگبی
Фурудгоҳи нерӯе ҳаво салтанате дишфурс,فرودگاه نیروی هوایی سلطنتی دیشفورث
Фурудгоҳи нерӯе ҳаво салтанате довн омпни,فرودگاه نیروی هوایی سلطنتی داون امپنی
Фурудгоҳи нерӯе ҳаво салтанате домфриз,فرودگاه نیروی هوایی سلطنتی دامفریز
Фурудгоҳи нерӯе ҳаво салтанате дунрди,فرودگاه نیروی هوایی سلطنتی دونردی
Фурудгоҳи нерӯе ҳаво салтанате инс,فرودگاه نیروی هوایی سلطنتی انستی
Фурудгоҳи нерӯе ҳаво салтанате кинлос,فرودگاه نیروی هوایی سلطنتی کینلاس
Фурудгоҳи нерӯе ҳаво салтанате кмрингҳом,فرودگاه نیروی هوایی سلطنتی کمرینگهام
Фурудгоҳи нерӯе ҳаво салтанате конингсби,فرودگاه نیروی هوایی سلطنتی کانینگسبی
Фурудгоҳи нерӯе ҳаво салтанате кордингтун,فرودگاه نیروی هوایی سلطنتی کاردینگتون
Фурудгоҳи нерӯе ҳаво салтанате корлисл,فرودگاه نیروی هوایی سلطنتی کارلیسل
Фурудгоҳи нерӯе ҳаво салтанате косфурд,فرودگاه نیروی هوایی سلطنتی کاسفورد
Фурудгоҳи нерӯе ҳаво салтанате котсмур,فرودگاه نیروی هوایی سلطنتی کاتسمور
Фурудгоҳи нерӯе ҳаво салтанате кронул,فرودگاه نیروی هوایی سلطنتی کرانول
Фурудгоҳи нерӯе ҳаво салтанате ксл кмпс,فرودگاه نیروی هوایی سلطنتی کسل کمپس
Фурудгоҳи нерӯе ҳаво салтанате кулби гринҷ,فرودگاه نیروی هوایی سلطنتی کولبی گرینج
Фурудгоҳи нерӯе ҳаво салтанате култишол,فرودگاه نیروی هوایی سلطنتی کولتیشال
Фурудгоҳи нерӯе ҳаво салтанате куололомпур,فرودگاه نیروی هوایی سلطنتی کوالالامپور
Фурудгоҳи нерӯе ҳаво салтанате лиминг,فرودگاه نیروی هوایی سلطنتی لیمینگ
Фурудгоҳи нерӯе ҳаво салтанате лимнпн,فرودگاه نیروی هوایی سلطنتی لیمنپن
Фурудгоҳи нерӯе ҳаво салтанате линтун-он-ӯр,فرودگاه نیروی هوایی سلطنتی لینتون-آن-اوز
Фурудгоҳи нерӯе ҳаво салтанате линҳом,فرودگاه نیروی هوایی سلطنتی لینهام
Фурудгоҳи нерӯе ҳаво салтанате лисстр шарқӣ,فرودگاه نیروی هوایی سلطنتی لیسستر شرقی
Фурудгоҳи нерӯе ҳаво салтанате листун,فرودگاه نیروی هوایی سلطنتی لیستون
Фурудгоҳи нерӯе ҳаво салтанате литл оснуринг,فرودگاه نیروی هوایی سلطنتی لیتل اسنورینگ
Фурудгоҳи нерӯе ҳаво салтанате литл рисингтун,فرودگاه نیروی هوایی سلطنتی لیتل ریسینگتون
Фурудгоҳи нерӯе ҳаво салтанате лосимовс,فرودگاه نیروی هوایی سلطنتی لاسیماوث
Фурудгоҳи нерӯе ҳаво салтанате лучорс,فرودگاه نیروی هوایی سلطنتی لوچارس
Фурудгоҳи нерӯе ҳаво салтанате милднҳол,فرودگاه نیروی هوایی سلطنتی میلدنهال
Фурудгоҳи нерӯе ҳаво салтанате мовнт плзнт,فرودگاه نیروی هوایی سلطنتی ماونت پلزنت
Фурудгоҳи нерӯе ҳаво салтанате морҳом,فرودگاه نیروی هوایی سلطنتی مارهام
Фурудгоҳи нерӯе ҳаво салтанате мочриҳониш,فرودگاه نیروی هوایی سلطنتی ماچریهانیش
Фурудгоҳи нерӯе ҳаво салтанате мтрингҳом,فرودگاه نیروی هوایی سلطنتی مترینگهام
Фурудгоҳи нерӯе ҳаво салтанате муно,فرودگاه نیروی هوایی سلطنتی مونا
Фурудгоҳи нерӯе ҳаво салтанате неютун,فرودگاه نیروی هوایی سلطنتی نیوتون
Фурудгоҳи нерӯе ҳаво салтанате никузио,فرودگاه نیروی هوایی سلطنتی نیکوزیا
Фурудгоҳи нерӯе ҳаво салтанате нурсулт,فرودگاه نیروی هوایی سلطنتی نورثولت
Фурудгоҳи нерӯе ҳаво салтанате обингдун,فرودگاه نیروی هوایی سلطنتی ابینگدون
Фурудгоҳи нерӯе ҳаво салтанате овдиҳом,فرودگاه نیروی هوایی سلطنتی اودیهام
Фурудгоҳи нерӯе ҳаво салтанате овповн,فرودگاه نیروی هوایی سلطنتی اوپاون
Фурудгоҳи нерӯе ҳаво салтанате одзл,فرودگاه نیروی هوایی سلطنتی ادزل
Фурудгоҳи нерӯе ҳаво салтанате окрутири,فرودگاه نیروی هوایی سلطنتی اکروتیری
Фурудгоҳи нерӯе ҳаво салтанате онуик,فرودگاه نیروی هوایی سلطنتی انویک
Фурудгоҳи нерӯе ҳаво салтанате орул,فرودگاه نیروی هوایی سلطنتی ارول
Фурудгоҳи нерӯе ҳаво салтанате оскомптун,فرودگاه نیروی هوایی سلطنتی اسکامپتون
Фурудгоҳи нерӯе ҳаво салтанате оскул‌сурп,فرودگاه نیروی هوایی سلطنتی اسکول‌ثورپ
Фурудгоҳи нерӯе ҳаво салтанате оснитрфилд,فرودگاه نیروی هوایی سلطنتی اسنیترفیلد
Фурудгоҳи нерӯе ҳаво салтанате оспилсби,فرودگاه نیروی هوایی سلطنتی اسپیلسبی
Фурудгоҳи нерӯе ҳаво салтанате оспитол‌гийт,فرودگاه نیروی هوایی سلطنتی اسپیتال‌گیت
Фурудгоҳи нерӯе ҳаво салтанате отрстун,فرودگاه نیروی هوایی سلطنتی اترستون
Фурудгоҳи нерӯе ҳаво салтанате оҳлҳурн,فرودگاه نیروی هوایی سلطنتی اهلهورن
Фурудгоҳи нерӯе ҳаво салтанате пнгом мурс,فرودگاه نیروی هوایی سلطنتی پنگام مورس
Фурудгоҳи нерӯе ҳаво салтанате пулатон,فرودگاه نیروی هوایی سلطنتی پولتون
Фурудгоҳи нерӯе ҳаво салтанате руфурс,فرودگاه نیروی هوایی سلطنتی روفورث
Фурудгоҳи нерӯе ҳаво салтанате совт крни,فرودگاه نیروی هوایی سلطنتی ساوت کرنی
Фурудгоҳи нерӯе ҳаво салтанате соирстун,فرودگاه نیروی هوایی سلطنتی سایرستون
Фурудгоҳи нерӯе ҳаво салтанате сотун бриҷ,فرودگاه نیروی هوایی سلطنتی ساتون بریج
Фурудгоҳи нерӯе ҳаво салтанате суннат онҷлу,فرودگاه نیروی هوایی سلطنتی سنت انجلو
Фурудгоҳи нерӯе ҳаво салтанате тилинг,فرودگاه نیروی هوایی سلطنتی تیلینگ
Фурудгоҳи нерӯе ҳаво салтанате топклиф,فرودگاه نیروی هوایی سلطنتی تاپکلیف
Фурудгоҳи нерӯе ҳаво салтанате трнҳил,فرودگاه نیروی هوایی سلطنتی ترنهیل
Фурудгоҳи нерӯе ҳаво салтанате тувин‌вӯд форм,فرودگاه نیروی هوایی سلطنتی تووین‌وود فارم
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар велеёмз,فرودگاه نیروی هوایی سلطنتی استرالیا در ویلیامز
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар кртин,فرودگاه نیروی هوایی سلطنتی استرالیا در کرتین
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар лирмунт,فرودگاه نیروی هوایی سلطنتی استرالیا در لیرمونت
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи велеём‌товн,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه ویلیام‌تاون
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи вого,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه واگا
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи глнбрук,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه گلنبروک
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи дорвен,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه داروین
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи нобик,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه نابیک
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи одинбург,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه ادینبورگ
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи оист сийл,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه ایست سیل
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи омбрли,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه امبرلی
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи пирс,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه پیرس
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи ричмунд,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه ریچموند
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи тиндол,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه تیندال
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи товнзуил,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه تاونزویل
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи ҳавоӣ вумро,فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه هوایی وومرا
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар шргр,فرودگاه نیروی هوایی سلطنتی استرالیا در شرگر
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар ҷинҷин,فرودگاه نیروی هوایی سلطنتی استرالیا در جینجین
Фурудгоҳи нерӯе ҳаво салтанате финду гск,فرودگاه نیروی هوایی سلطنتی فیندو گسک
Фурудгоҳи нерӯе ҳаво салтанате чортрҳол,فرودگاه نیروی هوایی سلطنتی چارترهال
Фурудгоҳи нерӯе ҳаво салтанате чрч фан,فرودگاه نیروی هوایی سلطنتی چرچ فنتون
Фурудгоҳи нерӯе ҳаво салтанате шовбри,فرودگاه نیروی هوایی سلطنتی شاوبری
Фурудгоҳи нерӯе ҳаво салтанате ҳмс‌вл,فرودگاه نیروی هوایی سلطنتی همس‌ول
Фурудгоҳи нерӯе ҳаво салтанате ҳнлу,فرودگاه نیروی هوایی سلطنتی هنلو
Фурудгоҳи нерӯе ҳаво салтанате ҳолатон,فرودگاه نیروی هوایی سلطنتی هالتون
Фурудгоҳи нерӯе ҳаво салтанате ҳонили,فرودگاه نیروی هوایی سلطنتی هانیلی
Фурудгоҳи нерӯе ҳаво салтанате ҳонингтун,فرودگاه نیروی هوایی سلطنتی هانینگتون
Фурудгоҳи нерӯе ҳаво салтанате ҳорлкстун,فرودگاه نیروی هوایی سلطنتی هارلکستون
Фурудгоҳи нерӯе ҳаво салтанате ҳутун порк,فرودگاه نیروی هوایی سلطنتی هوتون پارک
Фурудгоҳи нерӯе ҳаво салтанате ҷазира осншн,فرودگاه نیروی هوایی سلطنتی جزیره اسنشن
Фурудгоҳи нерӯи ҳавоии Салтанати Витринг,فرودگاه نیروی هوایی سلطنتی ویترینگ
Фурудгоҳи нзоги,فرودگاه نزاگی
Фурудгоҳи нзркурҳ,فرودگاه نزرکوره
Фурудгоҳи нидлз,فرودگاه نیدلز
Фурудгоҳи нидо глидрдрм,فرودگاه ندا گلیدردرم
Фурудгоҳи ниингчи моинлинг,فرودگاه نیینگچی ماینلینگ
Фурудгоҳи ний лик,فرودگاه نی لیک
Фурудгоҳи нилнд,فرودگاه نیلند
Фурудгоҳи нингон,فرودگاه نینگان
Фурудгоҳи ниок,فرودگاه نیاک
Фурудгоҳи ниоло,فرودگاه نیالا
Фурудгоҳи нионг ою,فرودگاه نیانگ ایو
Фурудгоҳи ниргиҳозо,فرودگاه نیرگیهازا
Фурудгоҳи нири,فرودگاه نیری
Фурудгоҳи нкосп,فرودگاه نکاسپ
Фурудгоҳи нкучо,فرودگاه نکوچا
Фурудгоҳи нмнгон,فرودگاه نمنگان
Фурудгоҳи нов торк,فرودگاه ناوی تارک
Фурудгоҳи новобшоҳ,فرودگاه ناوابشاه
Фурудгоҳи новоҳу лик,فرودگاه ناواهو لیک
Фурудгоҳи новрунгу,فرودگاه ناورونگو
Фурудгоҳи новуии,فرودگاه ناوویی
Фурудгоҳи новуҷуо,فرودگاه ناووجوا
Фурудгоҳи нозрон,فرودگاه نازران
Фурудгоҳи ноипидов,فرودگاه نایپیداو
Фурудгоҳи нокино,فرودگاه ناکینا
Фурудгоҳи нокнк,فرودگاه ناکنک
Фурудгоҳи ноксуил довнтовн оилнд,فرودگاه ناکسویل داونتاون آیلند
Фурудгоҳи нолоти,فرودگاه نالاتی
Фурудгоҳи номибҳ,فرودگاه نامیبه
Фурудгоҳи номло,فرودگاه ناملا
Фурудгоҳи номотоноеҳи,فرودگاه ناماتانائی
Фурудгоҳи номрулҳ,فرودگاه نامروله
Фурудгоҳи номулунг,فرودگاه نامولونگ
Фурудгоҳи номупло,فرودگاه ناموپلا
Фурудгоҳи номур-суорли,فرودگاه نامور-سوارلی
Фурудгоҳи номур лик,فرودگاه نامور لیک
Фурудгоҳи номурик,فرودگاه ناموریک
Фурудгоҳи нон,فرودگاه نان
Фурудгоҳи нонат отлонтек,فرودگاه نانت آتلانتیک
Фурудгоҳи нонго пинуҳ,فرودگاه نانگا پینوه
Фурудгоҳи нондд,فرودگاه ناندد
Фурудгоҳи нонионг ҷионг‌иинг,فرودگاه نانیانگ جیانگ‌یینگ
Фурудгоҳи нонки–широҳомо,فرودگاه نانکی–شیراهاما
Фурудгоҳи ноноиму,فرودگاه نانایمو
Фурудгоҳи нонси-ис,فرودگاه نانسی-اسی
Фурудгоҳи нонтокт ммуриол,فرودگاه نانتاکت مموریال
Фурудгоҳи нонтунг зингдунг,فرودگاه نانتونگ زینگدونگ
Фурудгоҳи нонуолк,فرودگاه نانوالک
Фурудгоҳи нонур,فرودگاه نانور
Фурудгоҳи нонюки,فرودگاه نانیوکی
Фурудгоҳи нопл,فرودگاه ناپل
Фурудгоҳи нопокиок,فرودگاه ناپاکیاک
Фурудгоҳи норондро,فرودگاه ناراندرا
Фурудгоҳи норотюот,فرودگاه ناراتیوات
Фурудгоҳи норробри,فرودگاه ناررابری
Фурудгоҳи норсорсуок,فرودگاه نارسارسواک
Фурудгоҳи норук,فرودگاه ناروک
Фурудгоҳи норумоин,فرودگاه ناروماین
Фурудгоҳи носо дар кровз лндинг,فرودگاه ناسا در کراوز لندینگ
Фурудгоҳи нот тирӣ,فرودگاه نات تری
Фурудгоҳи нотитингу,فرودگاه ناتیتینگو
Фурудгоҳи нотуошиш,فرودگاه ناتواشیش
Фурудгоҳи нохун ротчосимо,فرودگاه ناخون راتچاسیما
Фурудгоҳи нохун си томморот,فرودگاه ناخون سی تاممارات
Фурудгоҳи нохун совон,فرودگاه ناخون ساوان
Фурудгоҳи нохун фонум,فرودگاه ناخون فانوم
Фурудгоҳи ноҳейа 3 рюрз рикриишн,فرودگاه ناحیه ۳ ریورز ریکرییشن
Фурудгоҳи ноҳейа‌ий фитюл,فرودگاه ناحیه‌ای فیتیول
Фурудгоҳи нпир рнч,فرودگاه نپیر رنچ
Фурудгоҳи нпово,فرودگاه نپاوا
Фурудгоҳи нтшкуеҳн,فرودگاه نتشکوئن
Фурудгоҳи нуви соч-нусусино дулно,فرودگاه نووی ساچ-نوسوسینا دولنا
Фурудгоҳи нувно,فرودگاه نوونا
Фурудгоҳи нувуи сод,فرودگاه نوووی ساد
Фурудгоҳи нуиксут,فرودگاه نویکسوت
Фурудгоҳи нук,فرودگاه نوک
Фурудгоҳи нулоту,فرودگاه نولاتو
Фурудгоҳи нултин лик,فرودگاه نولتین لیک
Фурудгоҳи нумрот-муфди зокорио,فرودگاه نومرات-موفدی زاکاریا
Фурудгоҳи нунопитчук,فرودگاه نوناپیتچوک
Фурудгоҳи нунукон,فرودگاه نونوکان
Фурудгоҳи нурувд ммуриол,فرودگاه نوروود مموریال
Фурудгоҳи нусотуп,فرودگاه نوساتوپ
Фурудгоҳи нусро,فرودگاه نوسرا
Фурудгоҳи нуту,فرودگاه نوتو
Фурудгоҳи нуқта обе портрич,فرودگاه نقطه آبی پارتریچ
Фурудгоҳи нюбрунсуик (чимпсун),فرودگاه نیوبرونسویک (چیمپسون)
Фурудгоҳи обб,فرودگاه اببای
Фурудгоҳи оббишрул,فرودگاه اببیشرول
Фурудгоҳи оббоз,فرودگاه ابباز
Фурудгоҳи обгарм,فرودگاه آبگرم
Фурудгоҳи обе Парент,فرودگاه آبی پرنت
Фурудгоҳи обе аситун рпидз,فرودگاه آبی استونی رپیدز
Фурудгоҳи обе б-کвмов,فرودگاه آبی بای-کوماو
Фурудгоҳи обе бало бало воглисло,فرودگاه آبی بلا بلا/واگلیسلا
Фурудгоҳи обе бало бало шоруотр,فرودگاه آبی بلا بلا/شارواتر
Фурудгоҳи обе бандар ноноиму,فرودگاه آبی بندر نانایمو
